asset_id,original_backup_path,original_asset_path,webp_asset_path,webp_status,width,height,source_type,source_title,source_date,description,reference_count
cfs-image-0064,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1053088254745483.jpg,assets/images/original/cfs-image-0064.jpg,assets/images/webp/cfs-image-0064.webp,ok,842,595,uncategorized_photo,未分類写真,2016-07-09 23:24,,1
cfs-image-0065,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1053102821410693.jpg,assets/images/original/cfs-image-0065.jpg,assets/images/webp/cfs-image-0065.webp,ok,960,549,uncategorized_photo,未分類写真,2016-07-09 23:59,,1
cfs-image-0066,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1057025827685059.jpg,assets/images/original/cfs-image-0066.jpg,assets/images/webp/cfs-image-0066.webp,ok,960,540,uncategorized_photo,未分類写真,2016-07-16 10:32,RESASの講習会が始まりました。,1
cfs-image-0067,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1057126164341692.jpg,assets/images/original/cfs-image-0067.jpg,assets/images/webp/cfs-image-0067.webp,ok,960,540,uncategorized_photo,未分類写真,2016-07-16 14:56,アイデアソン実施中。関心事でチームを作ってます。,1
cfs-image-0068,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1057202767667365.jpg,assets/images/original/cfs-image-0068.jpg,assets/images/webp/cfs-image-0068.webp,ok,960,540,uncategorized_photo,未分類写真,2016-07-16 18:12,今回の集合写真です。,1
cfs-image-0069,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1057769794277329.jpg,assets/images/original/cfs-image-0069.jpg,assets/images/webp/cfs-image-0069.webp,ok,640,1408,uncategorized_photo,未分類写真,2016-07-17 15:17,,1
cfs-image-0070,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1057769810943994.jpg,assets/images/original/cfs-image-0070.jpg,assets/images/webp/cfs-image-0070.webp,ok,960,672,uncategorized_photo,未分類写真,2016-07-17 15:17,,1
cfs-image-0071,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1057769824277326.jpg,assets/images/original/cfs-image-0071.jpg,assets/images/webp/cfs-image-0071.webp,ok,960,672,uncategorized_photo,未分類写真,2016-07-17 15:17,,1
cfs-image-0072,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1057769847610657.jpg,assets/images/original/cfs-image-0072.jpg,assets/images/webp/cfs-image-0072.webp,ok,640,1426,uncategorized_photo,未分類写真,2016-07-17 15:17,,1
cfs-image-0073,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1058288910892084.jpg,assets/images/original/cfs-image-0073.jpg,assets/images/webp/cfs-image-0073.webp,ok,842,595,uncategorized_photo,未分類写真,2016-07-18 15:54,,1
cfs-image-0074,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1058289820891993.jpg,assets/images/original/cfs-image-0074.jpg,assets/images/webp/cfs-image-0074.webp,ok,960,549,uncategorized_photo,未分類写真,2016-07-18 15:56,,1
cfs-image-0075,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1059535057434136.jpg,assets/images/original/cfs-image-0075.jpg,assets/images/webp/cfs-image-0075.webp,ok,960,540,uncategorized_photo,未分類写真,2016-07-20 19:38,,1
